//Sets enemies to spawn. Index 0: (int) enemyArray index. 1: (float) x-position. 2: (float) y-position 3: (float) time to wait until next item to spawn
//LEVEL 2

//Cyan enemy introduced
0, -9, 6, 1
0, -8, 6, 1
0, -7, 6, 1
0, -6, 6, 1
0, -5, 6, 1

0, 5, 6, 1
0, 6, 6, 1
0, 7, 6, 1
0, 8, 6, 1
0, 9, 6, 1

0, 2.5, 6, 1
0, 3, 6, 1
0, 3.5, 6, 1
0, 4, 6, 1
0, 4.5, 6, 1
0, 5, 6, 1

0, -2.5, 6, 1
0, -3, 6, 1
0, -3.5, 6, 1
0, -4, 6, 1
0, -4.5, 6, 1
0, -5, 6, 2

//Orange enemy introduced
1, -4, 6, 0
1, 4, 6, 1
1, -3, 6, 0
1, 3, 6, 1
1, -2, 6, 0
1, 2, 6, 1

1, 0, 6, 1
1, 1, 6, 0
1, -1, 6, 1
1, 2, 6, 0
1, -2, 6, 1

0, 4, 6, 0.5
1, 4, 6, 1
0, 0, 6, 0
0, 2, 6, 0.5
1, 2, 6, 1
0, -3, 6, 0
0, 0, 6, 0.5
1, 0, 6, 1
0, 3, 6, 0
0, -2, 6, 0.5
1, -2, 6, 2

//Purple enemy introduced
2, -10, -1, 1
2, -10, 0, 1
2, -10, 1, 1
2, -10, 2, 1
2, -10, 3, 1

2, 10, -5, 1
2, 10, -4, 1
2, 10, -3, 1
2, 10, -2, 1
2, 10, -1, 1 

2, -10, 2, 0
0, 4, 6, 0
1, 2, 6, 1
0, -4, 6, 0
1, -2, 6, 1 
2, 10, 3, 0
0, -3, 6, 0
1, 4, 6, 1
0, 3, 6, 0
1, -4, 6, 3

//Boss
3, 0, 6, 0
